Title,Content,Date,Rating
Je me suis fait renversée par un…,Je me suis fait renversé par un caissier trop pressé de prendre sa caisse. Aucune aide même pas de pansement et du faire la queue. Pas de responsable n est sortiEt maintenant disent qu ils n ont pas de caméras près des caissesLe rayon animaux est trop près d une sortie de bureau. Je déconseille vivement . De mauvaise foi auprès de leurs clients,2020-10-26,medium
Scandaleux!!!!,Franchement il faut vraiment tirer la sonnette d'alarme pour le magasin de ARBIN 73800 ce n'est juste pas possible. !!!,2020-10-25,medium
"aldi france, du jambonneau en boite d úne pme averonnaise  SANS NITRITES","on ne peut que saluer l´initiative heureuse d´avoir referencé  au rayon conserves un jambonneau regional d´une pme aveyronnaise, la conserverie progre, le jambon par ailleurs d´une excellente qualite est sans conservateur et donc sans nitrites, , et ceci avant que le nouvelle vogue du sans nitrite ne se manifeste, et sans publicite particuliere dans ce sensoui, nos pme regionales fabriquent des produits de qualité, la societe progre pourrait presque s´appeler progré(S) Et la tradition c´est aussi le progrésalors achetez ce jambonneau pour sa qualite et parce que les nitrites sont surtout la pour conserver de mauvais produits et permettre aux industriels et aux gms d´augmenter les dlv et la rentabilite, plus que pour prevenir le botulisme",2020-10-23,medium
Aldi reste un magasin concourant me île…,Aldi reste un magasin concourant me île y a toujours des personnes qui fouillent les poubelles et reste devant la porte de entrée se un très mauvais image merci,2020-10-23,medium
Évitez d'aller à Aldi a tout prix !!!,"Évitez d'aller à Aldi!!!!! il se foutent du monde aldi !! Les actions sont une tombola !! Une fois a la caisse si la nana peut te faire payer le prix normal ben tien dans le....... Et en plus  pleins de dates périmées, une offre, et a la caisse elles comptent le prix normal cela fait des mois que j'y vais plus de retour ils refont pareil c'est fini aldi plus jamais !!ils m'ont perdu aldi Thônex et mal organisée chaque fois que j'y vais une sale aventure demarre finiiii",2020-10-17,medium
Je reçois un catalogue avec une offre…,"Je reçois un catalogue avec une offre alléchante. Impossible d’appeler les magasins car ils n’ont pas de numéro. Je me déplace le lendemain de l’offre...dans 3 magasins. Je sui reçu comme une M.... et personne ne sait pourquoi les produits n’ont pas été reçus et s’ils vont arriver (ni quand). J en profite pour acheter quelques bricoles. Deux femmes ont une altercation en caisse. Aucun employé n’intervient et je patiente 30 minutes à l’une des deux seules caisses ouvertes. Bref, première et dernière expérience pour moi chez Aldi. Je comprends que Lidl ait le monopole du discount....",2020-10-12,medium
produit de la marque FERREX ou DURO PRO…,"produit de la marque FERREX ou DURO PRO compresseur: sav en allemagne inexistant courriel de leurs part la loi allemande pas de remboursement sauf si produit en panne 3 fois de suite???produit neuf en panne il m'envoi un monometre pas le bon 12 bars au lieux 10 bars origine(moteur chauffe odeur brulé) ensuite il me renvoi un modele different DURO PROdemande de renvoi des deux produits pour remboursement 59,99 euro REFUSacheter plutot donc pour meme prix chez weldom castorama avec vrai sav sur place...",2020-10-09,medium
trés bien,Magasin propreProduit intéressantcaissière agréable.,2020-10-02,medium
Produits intéressant avant…,"Produits intéressant avant transformation du magasin, depuis les produits ont nettement augmentés et plus avec les pubs sur les écrans télés et depuis le coronavirus encore plus. Maintenant un magasin pratiquant les mêmes prix sur des articles et moins sur d'autres et plus sur certains. Pour finir un magasin qui fait recette, ne correspond plus aux défavorisés.",2020-09-19,medium
Aldi BRAVO,"Je suis ici pour donner un avis honnête et quand je lis les insanités dites sur ce super marché, je suis outtée !Nous n'avions plus été chez ""Aldi"" depuis qq mois et y sommes retournés pour acheter du matériel de jardin en promo, là nous avons été ÉBAHIS par la propreté, la gentillesse du personnel, le choix des produits et la fraîcheur des fruits et légumes proposés. Ce jour il y avait une promo sur les légumes et fruits bio, j'en ai profité car les prix étaient abordables alors que d'habitude je m'abstiens en raison du prix nettement plus élevé.Tout était délicieux, aucun doute les légumes bio sont nettement plus goûteux que le reste.Ensuite le rapport qualité prix est topissime, par rapport à certaines grandes surfaces la différence est colossale au bout d'un an ! Je considére que cela me fera plusieurs centaines d'Euros dans ma poche, de quoi  s'offrir qq plasirs en vacances ou un bon diner au restaurant.Le personnel féminin charmant et la propreté du super marché parfaite. Un geste sympa,à l’extérieur juste quand on prend un caddy, un paquet de lingettes désinfectantes attend les clients qui peuvent ainsi nettoyer la poignée du caddy et se laver les mains en sortant SUPER !Akors un immense bravo, il s'agit du Aldi de Romorantin et ils ne m'ont pas payée pour donner cet avis, il est honnête et sincère.",2020-09-14,medium
